Dataset,Computation_Time_Seconds,Status,Total_Cost,Feasible_Subsets,Total_Subsets,N_Subsets_Used
1,69.077959,Optimal,4118.408736,43773,166750,52
2,68.989926,Optimal,4601.95402,43773,166750,51
3,73.659207,Optimal,5752.486476,43773,166750,48
4,70.78838,Optimal,4638.899552,43773,166750,50
5,69.649734,Optimal,4819.213943,43773,166750,48
6,69.537885,Optimal,5161.045744,43773,166750,48
7,68.378059,Optimal,4344.024509,43773,166750,49
8,71.275418,Optimal,4520.81283,43773,166750,48
9,68.617973,Optimal,5147.69154,43773,166750,50
10,68.348351,Optimal,5230.811984,43773,166750,48
11,69.630653,Optimal,5924.530809,43773,166750,48
12,69.933722,Optimal,4398.673066,43773,166750,51
13,70.883352,Optimal,5377.790084,43773,166750,50
14,71.334992,Optimal,4492.164234,43773,166750,49
15,69.21941,Optimal,5296.916513,43773,166750,49
16,69.685913,Optimal,5585.02145,43773,166750,49
17,70.294808,Optimal,5378.143878,43773,166750,48
18,68.434713,Optimal,4867.840226,43773,166750,50
19,69.586659,Optimal,5440.239355,43773,166750,49
20,69.987549,Optimal,4473.810812,43773,166750,52
21,70.609019,Optimal,5131.328471,43773,166750,49
22,71.00924,Optimal,4915.487006,43773,166750,52
23,70.186087,Optimal,4637.881531,43773,166750,49
24,69.471382,Optimal,5017.298311,43773,166750,50
25,69.521383,Optimal,4573.86995,43773,166750,50
26,69.227159,Optimal,5050.563474,43773,166750,49
27,69.42128,Optimal,5626.49396,43773,166750,48
28,68.926393,Optimal,4403.729421,43773,166750,49
29,70.208745,Optimal,5570.157354,43773,166750,47
30,69.210597,Optimal,4532.944533,43773,166750,51
31,71.573349,Optimal,4973.622165,43773,166750,49
32,69.949139,Optimal,5038.620538,43773,166750,49
33,68.738636,Optimal,4761.64304,43773,166750,48
34,69.261854,Optimal,4760.341136,43773,166750,50
35,73.473361,Optimal,5036.947114,43773,166750,50
36,70.823052,Optimal,4375.964773,43773,166750,49
37,68.056524,Optimal,5428.361752,43773,166750,49
38,70.969258,Optimal,5679.695323,43773,166750,48
39,67.921984,Optimal,5025.429706,43773,166750,49
40,68.338155,Optimal,4808.504339,43773,166750,53
41,69.032775,Optimal,5593.828542,43773,166750,51
42,69.45321,Optimal,4501.606025,43773,166750,52
43,69.800437,Optimal,5113.484691,43773,166750,50
44,69.537045,Optimal,5425.066716,43773,166750,50
45,70.170875,Optimal,4879.867651,43773,166750,50
46,68.543273,Optimal,4556.96137,43773,166750,51
47,68.79538,Optimal,4767.435,43773,166750,48
48,69.106203,Optimal,5207.22,43773,166750,51
49,67.797919,Optimal,4288.581584,43773,166750,50
50,68.273513,Optimal,4736.96598,43773,166750,48
51,69.78126,Optimal,4740.468019,43773,166750,50
52,69.48201,Optimal,4669.973038,43773,166750,50
53,71.873721,Optimal,5448.069055,43773,166750,49
54,69.195438,Optimal,4921.963601,43773,166750,49
55,71.147467,Optimal,5990.998855,43773,166750,49
56,69.443059,Optimal,4969.183942,43773,166750,49
57,70.288772,Optimal,5649.330449,43773,166750,48
58,76.040991,Optimal,5948.49511,43773,166750,49
59,69.959948,Optimal,5702.242016,43773,166750,50
60,68.325893,Optimal,5823.615349,43773,166750,48
61,69.074256,Optimal,4501.95548,43773,166750,50
62,69.284493,Optimal,4937.25612,43773,166750,49
63,70.169056,Optimal,4423.728236,43773,166750,48
64,69.95066,Optimal,4139.333073,43773,166750,50
65,70.127606,Optimal,4795.458838,43773,166750,48
66,69.577544,Optimal,4963.526077,43773,166750,53
67,70.443579,Optimal,4454.053858,43773,166750,50
68,68.814508,Optimal,4615.977552,43773,166750,50
69,68.085406,Optimal,5063.698503,43773,166750,49
70,69.937314,Optimal,5061.897475,43773,166750,49
71,69.238823,Optimal,4481.564437,43773,166750,50
72,68.937156,Optimal,5216.882771,43773,166750,50
73,68.416225,Optimal,5875.857956,43773,166750,49
74,70.210806,Optimal,5055.119935,43773,166750,51
75,68.391891,Optimal,4367.355528,43773,166750,50
76,69.592221,Optimal,5917.982193,43773,166750,51
77,68.754039,Optimal,4739.493224,43773,166750,48
78,72.114875,Optimal,5122.010733,43773,166750,48
79,72.423161,Optimal,5314.778704,43773,166750,50
80,71.682847,Optimal,4383.799914,43773,166750,52
81,70.250958,Optimal,4448.594082,43773,166750,50
82,68.655018,Optimal,4922.119094,43773,166750,49
83,70.960026,Optimal,5353.807822,43773,166750,49
84,71.339644,Optimal,4665.212627,43773,166750,50
85,69.138863,Optimal,5196.245373,43773,166750,48
86,68.541835,Optimal,5190.168631,43773,166750,52
87,70.348802,Optimal,5787.471064,43773,166750,47
88,69.666287,Optimal,4820.685686,43773,166750,50
89,69.765862,Optimal,4667.014758,43773,166750,50
90,70.295028,Optimal,5389.859885,43773,166750,48
91,68.750724,Optimal,5004.099135,43773,166750,51
92,70.122749,Optimal,4780.021918,43773,166750,49
93,71.376131,Optimal,4859.372033,43773,166750,47
94,70.312053,Optimal,5293.106442,43773,166750,49
95,70.415216,Optimal,4831.299933,43773,166750,51
96,71.344753,Optimal,5536.611747,43773,166750,49
97,69.905987,Optimal,5305.914609,43773,166750,51
98,69.903861,Optimal,5036.217952,43773,166750,49
99,69.850594,Optimal,6160.080018,43773,166750,46
100,71.325188,Optimal,4889.182205,43773,166750,50
