Dataset,Capacity,Cost,Vehicles,Time
1,100,5739.78,67,0.002277
2,100,6524.75,71,0.0019
3,100,8167.82,70,0.002035
4,100,6547.18,70,0.001879
5,100,7069.92,72,0.002182
6,100,7714.77,71,0.002242
7,100,6228.53,69,0.001981
8,100,6510.5,71,0.001893
9,100,7390.54,73,0.001952
10,100,7590.99,70,0.0019
11,100,8923.71,70,0.002105
12,100,6160.58,70,0.001877
13,100,8077.36,69,0.002296
14,100,6515.24,71,0.002185
15,100,7715.49,71,0.001873
16,100,7820.95,69,0.002293
17,100,8083.96,71,0.002064
18,100,7244.33,70,0.001972
19,100,8727.34,67,0.002319
20,100,6415.39,70,0.00196
21,100,7756.3,69,0.002308
22,100,6964.52,70,0.002087
23,100,6860.35,70,0.002049
24,100,7342.56,72,0.001984
25,100,6336.88,71,0.001863
26,100,7555.79,71,0.001865
27,100,8150.39,70,0.002191
28,100,6431.83,72,0.00198
29,100,8218.44,71,0.002155
30,100,6570.72,69,0.002218
31,100,7384.12,70,0.002092
32,100,7355.12,68,0.002312
33,100,7139.75,72,0.001929
34,100,6711.82,69,0.001899
35,100,7468.05,70,0.001816
36,100,6327.65,69,0.001725
37,100,8501.3,69,0.001904
38,100,8892.05,71,0.001941
39,100,7163.67,69,0.0019
40,100,6823.48,71,0.001833
41,100,8406.39,68,0.001894
42,100,6738.81,70,0.001864
43,100,7845.72,71,0.001943
44,100,7725.84,70,0.00188
45,100,7114.02,70,0.001932
46,100,6365.08,69,0.00186
47,100,6771.43,70,0.002012
48,100,7685.25,72,0.002127
49,100,6280.29,70,0.002163
50,100,7147.97,70,0.001686
51,100,7022.46,68,0.002216
52,100,6789.61,69,0.001617
53,100,8186.49,69,0.001755
54,100,7075.31,70,0.002085
55,100,9523.58,71,0.002276
56,100,7280.9,70,0.001625
57,100,8690.71,69,0.002046
58,100,9459.51,69,0.002145
59,100,8806.69,68,0.002171
60,100,8993.81,67,0.001985
61,100,6548.24,69,0.001969
62,100,7516.06,70,0.001864
63,100,6616.06,69,0.001995
64,100,6276.86,70,0.001974
65,100,7040.8,72,0.001916
66,100,7317.06,70,0.001987
67,100,6131.71,70,0.001927
68,100,6446.4,69,0.001809
69,100,7466.36,70,0.001898
70,100,7052.2,70,0.001854
71,100,6460.82,73,0.00182
72,100,7792.44,71,0.002163
73,100,8833.57,68,0.002147
74,100,7634.55,71,0.002192
75,100,6535.42,70,0.001853
76,100,8947.03,69,0.002201
77,100,6743.38,69,0.002421
78,100,7807.18,71,0.002025
79,100,7653.12,68,0.0022
80,100,6042.18,69,0.002012
81,100,6705.72,71,0.00186
82,100,7194.33,70,0.002106
83,100,7955.05,67,0.002061
84,100,6610.71,70,0.001858
85,100,7587.24,68,0.001927
86,100,7466.06,72,0.001886
87,100,8388.12,69,0.001925
88,100,7087.78,71,0.001861
89,100,6587.57,70,0.001953
90,100,7810.69,70,0.001827
91,100,7139.09,70,0.002077
92,100,7053.19,71,0.001653
93,100,7508.96,71,0.001494
94,100,7859.59,69,0.001968
95,100,6790.45,68,0.001544
96,100,8253.78,69,0.002101
97,100,7740.82,70,0.002191
98,100,7616.02,71,0.001676
99,100,9406.65,69,0.002001
100,100,7234.01,71,0.001969
1,120,5702.26,60,0.001832
2,120,6048.87,61,0.001819
3,120,8254.15,61,0.001968
4,120,6110.91,62,0.001806
5,120,6687.98,61,0.001822
6,120,6867.38,61,0.001974
7,120,5632.37,60,0.001769
8,120,6140.28,59,0.001821
9,120,7106.01,61,0.002031
10,120,7114.56,61,0.002189
11,120,8368.18,59,0.002055
12,120,5725.0,60,0.001957
13,120,7574.9,60,0.001708
14,120,6233.33,60,0.002085
15,120,7341.12,58,0.00215
16,120,7701.73,60,0.002052
17,120,7177.6,60,0.001943
18,120,6772.62,60,0.001764
19,120,8199.79,59,0.001963
20,120,6175.11,60,0.001814
21,120,7199.22,59,0.001905
22,120,6883.56,64,0.001872
23,120,6299.05,60,0.001889
24,120,6747.47,61,0.001847
25,120,5922.11,61,0.001767
26,120,7112.57,60,0.001495
27,120,8332.18,64,0.002294
28,120,5812.41,59,0.001706
29,120,7152.89,59,0.001624
30,120,6198.4,58,0.001858
31,120,6670.55,59,0.002031
32,120,7025.18,60,0.002252
33,120,6429.0,59,0.001869
34,120,6691.17,62,0.002185
35,120,7033.07,58,0.001804
36,120,5840.51,60,0.001762
37,120,8116.49,60,0.001872
38,120,8049.53,62,0.00185
39,120,7067.09,63,0.001875
40,120,6143.05,61,0.001977
41,120,8035.28,61,0.001618
42,120,6511.4,61,0.001863
43,120,7115.11,59,0.002286
44,120,7455.43,62,0.001974
45,120,6585.72,61,0.001751
46,120,5982.56,62,0.001978
47,120,6589.28,61,0.001873
48,120,7179.88,62,0.001892
49,120,5680.89,60,0.001954
50,120,6766.31,61,0.001916
51,120,6241.16,60,0.001948
52,120,6383.1,60,0.001871
53,120,7974.01,60,0.002033
54,120,7080.05,60,0.001866
55,120,8330.98,59,0.001784
56,120,6695.28,60,0.001957
57,120,8148.18,60,0.002264
58,120,8511.63,58,0.00191
59,120,8134.57,58,0.002181
60,120,8277.69,58,0.001988
61,120,6440.55,61,0.001822
62,120,7155.15,61,0.001942
63,120,6262.36,58,0.001827
64,120,5885.57,63,0.001988
65,120,6462.2,62,0.002086
66,120,7114.13,60,0.001854
67,120,5750.46,61,0.001982
68,120,6310.41,61,0.001934
69,120,7022.65,61,0.001833
70,120,6460.39,62,0.001943
71,120,5745.53,61,0.001764
72,120,7182.06,60,0.002081
73,120,8730.1,60,0.002212
74,120,6997.62,60,0.002232
75,120,5996.63,61,0.002005
76,120,8048.9,63,0.002188
77,120,6317.01,58,0.001957
78,120,7372.55,61,0.001755
79,120,7176.6,59,0.002007
80,120,5820.94,61,0.001786
81,120,6292.37,62,0.001918
82,120,6526.67,61,0.002341
83,120,7772.42,60,0.002019
84,120,6059.61,58,0.001841
85,120,7288.33,62,0.001904
86,120,7039.66,62,0.001822
87,120,7984.27,59,0.001765
88,120,6661.43,60,0.001819
89,120,6187.87,61,0.001493
90,120,7432.78,63,0.002079
91,120,7066.44,59,0.002094
92,120,6566.71,60,0.001912
93,120,6812.19,60,0.001955
94,120,7569.68,62,0.002264
95,120,6502.12,61,0.001924
96,120,7551.71,60,0.001918
97,120,7594.07,63,0.001841
98,120,7134.85,60,0.00176
99,120,8711.92,60,0.001902
100,120,7207.38,60,0.001894
1,140,5301.48,51,0.002501
2,140,5587.64,51,0.001582
3,140,7133.2,52,0.002263
4,140,6078.74,53,0.001716
5,140,5986.31,52,0.001806
6,140,6469.9,51,0.001749
7,140,5328.97,52,0.001777
8,140,5638.55,50,0.00154
9,140,6622.77,54,0.001529
10,140,6766.33,52,0.001643
11,140,7518.08,49,0.00223
12,140,5417.08,53,0.001887
13,140,6714.81,50,0.001868
14,140,5485.58,50,0.001822
15,140,6580.28,52,0.001961
16,140,7137.59,52,0.001852
17,140,6977.59,52,0.001843
18,140,6464.85,53,0.001782
19,140,7772.35,50,0.001879
20,140,5605.09,51,0.001745
21,140,6606.14,52,0.002317
22,140,5522.05,51,0.001963
23,140,6189.04,53,0.001692
24,140,6531.37,51,0.001755
25,140,5748.9,54,0.001914
26,140,6106.64,52,0.002214
27,140,7301.11,52,0.002035
28,140,5452.92,52,0.002021
29,140,6510.71,49,0.002168
30,140,6050.28,52,0.001804
31,140,6439.73,50,0.00202
32,140,6536.59,51,0.00198
33,140,6315.36,54,0.001877
34,140,5926.45,51,0.001993
35,140,6375.35,50,0.001845
36,140,5488.45,51,0.001985
37,140,7210.6,52,0.002028
38,140,7665.04,52,0.001964
39,140,6384.22,50,0.001957
40,140,5812.6,55,0.001794
41,140,6791.09,49,0.001989
42,140,6147.64,53,0.001971
43,140,6785.25,53,0.001921
44,140,6929.48,52,0.001751
45,140,6121.75,49,0.001998
46,140,5610.4,52,0.001778
47,140,5840.67,52,0.001898
48,140,6468.73,51,0.00176
49,140,5470.0,52,0.002398
50,140,6029.94,52,0.0017
51,140,6072.42,52,0.001962
52,140,5688.75,53,0.001771
53,140,7596.26,50,0.001726
54,140,6125.91,51,0.001916
55,140,7624.48,50,0.002002
56,140,6706.42,53,0.001878
57,140,7292.65,51,0.001903
58,140,7379.11,53,0.001993
59,140,7878.57,49,0.001887
60,140,7554.13,51,0.001858
61,140,5930.41,52,0.001781
62,140,6630.74,53,0.00195
63,140,5934.02,50,0.001888
64,140,5059.89,49,0.002023
65,140,5985.58,52,0.001582
66,140,6390.32,49,0.001509
67,140,5536.38,53,0.001812
68,140,6024.18,54,0.001948
69,140,6574.09,54,0.001979
70,140,6204.38,51,0.001899
71,140,5397.92,50,0.001778
72,140,6616.49,52,0.001916
73,140,7987.6,53,0.00213
74,140,6698.05,52,0.001886
75,140,5422.6,51,0.001801
76,140,7410.62,52,0.001953
77,140,5596.75,51,0.001687
78,140,6456.8,52,0.002092
79,140,6835.2,50,0.002063
80,140,5836.22,55,0.001905
81,140,6111.11,53,0.00185
82,140,6030.81,52,0.002078
83,140,6673.23,51,0.002018
84,140,5734.28,51,0.001838
85,140,6363.87,51,0.001864
86,140,6409.4,51,0.001905
87,140,7526.82,53,0.002006
88,140,6208.44,52,0.00176
89,140,5745.31,53,0.001763
90,140,6968.82,52,0.001451
91,140,6578.81,51,0.001824
92,140,6110.04,51,0.001926
93,140,5855.25,53,0.002056
94,140,6587.83,52,0.002054
95,140,6225.72,52,0.001939
96,140,6989.09,51,0.00195
97,140,6955.47,52,0.001943
98,140,6820.31,52,0.00203
99,140,7719.33,51,0.001936
100,140,6011.23,52,0.001891
1,160,4734.44,44,0.001949
2,160,5186.51,46,0.001679
3,160,6469.52,44,0.002086
4,160,5410.52,44,0.0021
5,160,5396.4,43,0.001908
6,160,6313.38,45,0.00214
7,160,4787.13,45,0.001871
8,160,4893.99,45,0.001844
9,160,5957.83,46,0.001909
10,160,6125.47,45,0.001879
11,160,6677.49,43,0.001992
12,160,4831.01,44,0.001904
13,160,6380.55,43,0.002001
14,160,5320.12,45,0.001906
15,160,6159.66,44,0.001964
16,160,6269.31,43,0.002212
17,160,6158.44,45,0.002041
18,160,5715.73,45,0.001907
19,160,6264.91,44,0.002087
20,160,5137.05,42,0.002028
21,160,5974.01,44,0.002071
22,160,5599.76,46,0.002131
23,160,5116.19,44,0.001932
24,160,5405.51,44,0.001849
25,160,5105.14,43,0.001811
26,160,5950.25,45,0.001888
27,160,6685.52,47,0.002231
28,160,4869.62,44,0.001981
29,160,6332.18,44,0.002158
30,160,5538.4,44,0.002077
31,160,5714.1,44,0.002028
32,160,6203.91,44,0.002186
33,160,5626.12,45,0.001887
34,160,5435.04,45,0.001906
35,160,5905.93,43,0.00186
36,160,5309.06,45,0.00181
37,160,6463.95,43,0.002026
38,160,6831.54,45,0.002137
39,160,5849.76,44,0.002073
40,160,5347.08,45,0.002681
41,160,6503.14,44,0.001995
42,160,5557.23,43,0.002025
43,160,5979.1,45,0.002325
44,160,6235.08,46,0.002098
45,160,5619.23,44,0.0021
46,160,4946.82,44,0.001814
47,160,5312.8,45,0.002084
48,160,5803.94,46,0.001817
49,160,4966.91,44,0.00186
50,160,5384.31,43,0.001916
51,160,5474.11,45,0.001904
52,160,5220.14,45,0.001853
53,160,6745.03,43,0.002116
54,160,5676.94,45,0.001965
55,160,7044.49,45,0.00236
56,160,5687.41,44,0.002193
57,160,6324.94,43,0.002404
58,160,6885.82,43,0.002394
59,160,7056.31,43,0.00219
60,160,7022.27,44,0.001951
61,160,5279.81,44,0.001908
62,160,5929.61,45,0.002049
63,160,5199.25,44,0.001917
64,160,4674.69,45,0.001977
65,160,5629.25,45,0.001848
66,160,6058.87,44,0.001782
67,160,5146.54,45,0.002012
68,160,5141.67,44,0.001912
69,160,5946.71,44,0.002134
70,160,5711.43,44,0.002123
71,160,5143.1,44,0.002297
72,160,5876.41,44,0.001913
73,160,7054.14,44,0.002268
74,160,6131.89,47,0.001996
75,160,5228.12,45,0.001815
76,160,6350.65,43,0.001896
77,160,5518.97,45,0.001892
78,160,6255.31,44,0.00185
79,160,6266.82,44,0.002103
80,160,5293.78,45,0.001985
81,160,5388.24,45,0.001906
82,160,5783.39,45,0.002022
83,160,6236.06,43,0.002037
84,160,5451.38,46,0.001808
85,160,6109.55,45,0.001934
86,160,5872.33,45,0.001875
87,160,6431.46,44,0.001938
88,160,5968.85,44,0.001805
89,160,5336.01,45,0.001847
90,160,5631.48,44,0.001856
91,160,5525.44,43,0.001907
92,160,5518.37,45,0.001883
93,160,5443.65,41,0.002172
94,160,5974.23,45,0.002403
95,160,5585.54,43,0.002058
96,160,6259.37,45,0.002002
97,160,6132.67,46,0.002103
98,160,5993.77,44,0.001866
99,160,6861.92,44,0.002146
100,160,6020.17,47,0.001975
1,180,4153.66,39,0.001923
2,180,4757.83,39,0.001832
3,180,5813.83,37,0.002113
4,180,5084.39,40,0.002094
5,180,5105.0,41,0.001995
6,180,5812.38,38,0.002001
7,180,4665.62,39,0.001868
8,180,4757.66,40,0.002176
9,180,5377.83,39,0.002168
10,180,5532.9,38,0.002031
11,180,5961.7,38,0.002226
12,180,4479.57,38,0.002074
13,180,5779.13,37,0.002064
14,180,5021.73,39,0.001951
15,180,5206.53,39,0.002177
16,180,5325.52,38,0.00195
17,180,5766.41,39,0.001943
18,180,5118.72,37,0.001863
19,180,5978.35,35,0.002054
20,180,4754.12,39,0.002072
21,180,5393.84,38,0.002141
22,180,4978.32,40,0.002053
23,180,5292.12,40,0.002056
24,180,5369.17,41,0.001949
25,180,4428.53,38,0.00201
26,180,5321.07,38,0.001971
27,180,6008.62,39,0.00194
28,180,4549.17,39,0.001954
29,180,5793.98,40,0.001989
30,180,4995.91,37,0.001797
31,180,5194.15,38,0.001868
32,180,5623.26,40,0.001972
33,180,5247.56,39,0.002054
34,180,5004.55,39,0.002173
35,180,5166.82,37,0.001823
36,180,4894.28,39,0.00198
37,180,5615.23,38,0.002293
38,180,6413.79,39,0.002162
39,180,5728.09,37,0.002049
40,180,4860.92,39,0.001863
41,180,5846.88,38,0.001993
42,180,4929.46,39,0.001857
43,180,5055.76,37,0.001945
44,180,5749.43,39,0.001896
45,180,5166.81,38,0.002043
46,180,4609.52,39,0.00194
47,180,4862.67,39,0.002226
48,180,5403.93,39,0.001802
49,180,4553.35,39,0.001888
50,180,5054.73,38,0.002444
51,180,5099.73,39,0.001922
52,180,4935.61,38,0.002019
53,180,6378.83,38,0.002319
54,180,5530.47,40,0.001891
55,180,6290.67,38,0.002219
56,180,5279.88,38,0.001856
57,180,6407.05,39,0.001958
58,180,6266.17,37,0.001976
59,180,6573.33,38,0.001892
60,180,6503.55,40,0.001889
61,180,4988.12,38,0.002129
62,180,5149.98,39,0.00213
63,180,5159.89,41,0.001999
64,180,4445.88,37,0.001947
65,180,5095.98,39,0.00194
66,180,5136.65,37,0.001906
67,180,4664.02,38,0.001974
68,180,4414.04,38,0.001863
69,180,5389.31,39,0.002106
70,180,4826.59,37,0.002017
71,180,4972.98,39,0.001942
72,180,5965.43,41,0.001823
73,180,6138.47,39,0.00217
74,180,5370.09,38,0.002054
75,180,4518.59,39,0.001848
76,180,5911.62,38,0.002045
77,180,5175.41,40,0.002286
78,180,5686.7,40,0.002169
79,180,5790.75,40,0.001953
80,180,4571.03,39,0.001948
81,180,4670.48,37,0.002014
82,180,5115.42,38,0.002123
83,180,5840.13,38,0.0021
84,180,4837.94,39,0.001915
85,180,5561.25,38,0.00201
86,180,5580.88,40,0.001938
87,180,6080.2,39,0.002098
88,180,5488.52,39,0.001884
89,180,4835.59,40,0.001856
90,180,5772.07,40,0.00221
91,180,5126.29,38,0.002265
92,180,4946.55,38,0.002
93,180,5254.17,39,0.002117
94,180,5410.05,38,0.00212
95,180,4958.54,39,0.002008
96,180,5639.04,39,0.00201
97,180,5499.6,37,0.001902
98,180,5281.79,39,0.001821
99,180,6448.6,39,0.001978
100,180,5147.65,40,0.00192
1,200,4248.97,35,0.00194
2,200,4670.48,36,0.001899
3,200,5894.17,36,0.002617
4,200,4578.4,35,0.002007
5,200,4778.11,35,0.002169
6,200,5415.49,35,0.003871
7,200,4682.59,36,0.001919
8,200,4524.33,35,0.001889
9,200,4770.09,34,0.002018
10,200,4866.98,35,0.002022
11,200,5703.81,35,0.002117
12,200,4426.03,37,0.001819
13,200,5415.66,32,0.001949
14,200,4968.83,37,0.001892
15,200,4929.63,34,0.002035
16,200,5645.09,37,0.001981
17,200,5301.15,34,0.001971
18,200,5051.41,36,0.001986
19,200,5596.95,33,0.002047
20,200,4419.44,35,0.002204
21,200,4890.49,33,0.002209
22,200,4738.18,35,0.002084
23,200,4949.82,35,0.00208
24,200,4894.04,35,0.001875
25,200,4495.78,35,0.001886
26,200,5126.37,36,0.001957
27,200,5953.59,37,0.002168
28,200,4297.8,37,0.001991
29,200,5267.42,34,0.002011
30,200,4529.03,33,0.002013
31,200,4762.07,35,0.001967
32,200,5034.96,35,0.002156
33,200,4852.52,36,0.001946
34,200,4676.21,36,0.002127
35,200,5190.95,35,0.00214
36,200,4787.65,36,0.001982
37,200,5480.55,34,0.001905
38,200,5506.92,35,0.002302
39,200,5064.2,35,0.001956
40,200,4700.84,36,0.002016
41,200,5100.17,32,0.002206
42,200,4912.53,35,0.002161
43,200,5545.6,36,0.002018
44,200,5553.74,36,0.002047
45,200,5212.46,35,0.002032
46,200,4525.17,35,0.001828
47,200,4752.75,35,0.001915
48,200,4917.05,33,0.001771
49,200,4679.07,34,0.001959
50,200,4885.5,36,0.002005
51,200,4886.57,34,0.001921
52,200,4555.33,34,0.002008
53,200,5988.23,35,0.002093
54,200,4944.54,34,0.001882
55,200,5851.24,35,0.002405
56,200,5003.97,34,0.001781
57,200,5439.77,34,0.001999
58,200,5614.09,33,0.00196
59,200,6090.04,36,0.001925
60,200,6127.25,35,0.001872
61,200,4860.54,36,0.001809
62,200,4857.34,36,0.002371
63,200,4624.43,34,0.00214
64,200,4270.69,35,0.002064
65,200,4891.93,35,0.002274
66,200,5335.48,35,0.001969
67,200,4482.12,35,0.001986
68,200,4767.7,35,0.001899
69,200,4898.22,36,0.002077
70,200,4807.76,35,0.001877
71,200,4565.64,36,0.001824
72,200,5406.92,36,0.001837
73,200,5886.45,36,0.002135
74,200,5112.0,34,0.002029
75,200,4517.92,36,0.001913
76,200,5263.6,33,0.001821
77,200,4941.32,36,0.001868
78,200,5507.38,37,0.002069
79,200,5112.72,35,0.002199
80,200,4386.54,34,0.001959
81,200,4409.43,34,0.00182
82,200,4807.33,36,0.002211
83,200,5520.96,35,0.002135
84,200,4706.27,34,0.001961
85,200,5145.53,34,0.002011
86,200,5119.53,35,0.001957
87,200,5921.56,36,0.002027
88,200,4970.92,36,0.001847
89,200,4798.86,36,0.001954
90,200,5292.22,35,0.001794
91,200,4983.1,35,0.002033
92,200,4709.13,35,0.001657
93,200,4714.92,34,0.00218
94,200,5528.99,35,0.002328
95,200,4796.6,35,0.002017
96,200,5229.42,34,0.002148
97,200,5065.07,34,0.001944
98,200,5382.62,35,0.001816
99,200,5763.03,35,0.002081
100,200,4829.82,36,0.002065
